Name,Ticker,"Sub-Sector","Market Cap","Percentage Buy Reco’s","Percentage Upside","No. of analysts with buy reco","Percentage Sell Reco's","Percentage Hold Reco's","Total no. of analysts"
Jupiter Wagons Ltd,JWL,"Rail","11669.348471645","25","4.559604468046141","1","25","50","4"
Honasa Consumer Ltd,HONASA,"FMCG - Personal Products","11607.56740095","66.66666666666667","5.1156271899089","8","25","8.333333333333334","12"
Jubilant Ingrevia Ltd,JUBLINGREA,"Specialty Chemicals","11599.263596205","83.33333333333333","29.512543340811742","5","0","16.666666666666668","6"
Signatureglobal (India) Ltd,SIGNATURE,"Real Estate","11532.414963825","100","29.393847091075237","5","0","0","5"
PCBL Chemical Ltd,PCBL,"Commodity Chemicals","11514.68310606","33.333333333333336","5.928583632325312","3","11.11111111111111","55.55555555555556","9"
Blue Dart Express Ltd,BLUEDART,"Logistics","11483.1336593","80","16.74759789234425","4","20","0","5"
HEG Ltd,HEG,"Electrical Components & Equipments","11444.53241665","100","18.03389258915775","2","0","0","2"
Shadowfax Technologies Ltd,SHADOWFAX,"Logistics","11421.969742580999","100","2.3908257820099252","3","0","0","3"
Home First Finance Company India Ltd,HOMEFIRST,"Home Financing","11272.11468471","90","32.28616439625615","18","5","5","20"
Lumax AutoTechnologies Ltd,LUMAXTECH,"Auto Parts","11244.6581709","100","19.6811734755728","4","0","0","4"
Nuvoco Vistas Corporation Ltd,NUVOCO,"Cement","11239.70413491","83.33333333333333","27.105179536066103","15","0","16.666666666666668","18"
SBI Nifty 50 ETF,SETFNIF50,"Equity","11236.228304982","0",,"0","0","0",
Afcons Infrastructure Ltd,AFCONS,"Construction & Engineering","11232.14263074","75","14.603798297315004","6","0","25","8"
Reliance Power Ltd,RPOWER,"Power Generation","11220.346630758","0",,"0","0","0",
Indian Energy Exchange Ltd,IEX,"Power Trading & Consultancy","11201.44413707","37.5","7.466963859258076","3","25","37.5","8"
Sanofi Consumer Healthcare India Ltd,SANOFICONR,"Pharmaceuticals","11179.98514368","100","20.612228081740284","1","0","0","1"
Can Fin Homes Ltd,CANFINHOME,"Home Financing","11164.97338125","86.66666666666667","28.205128205128204","13","0","13.333333333333334","15"
Prudent Corporate Advisory Services Ltd,PRUDENT,"Asset Management","11142.1235212","71.42857142857143","9.071314430116315","5","0","28.571428571428573","7"
Zensar Technologies Ltd,ZENSARTECH,"IT Services & Consulting","11116.940456895","63.63636363636363","28.98949729784847","7","9.090909090909092","27.272727272727273","11"
Park Medi World Ltd,PARKHOSPS,"Hospitals & Diagnostic Centres","11066.500666544","100","24.897544982631445","1","0","0","1"
Kotak Nifty Bank ETF,BANKNIFTY1,"Equity","11053.95724732","0",,"0","0","0",
Bls International Services Ltd,BLS,"Outsourced services","11048.83007712","100","44.93293591654248","1","0","0","1"
Godrej Agrovet Ltd,GODREJAGRO,"Agro Products","11045.30930514","100","39.32427725531173","5","0","0","5"
Viyash Scientific Ltd,VIYASH,"Pharmaceuticals","10985.342960363001","100","6.082879733004888","2","0","0","2"
Tamilnad Mercantile Bank Ltd,TMB,"Private Banks","10969.79697585","0",,"0","0","0",
Astra Microwave Products Ltd,ASTRAMICRO,"Communication & Networking","10957.60337328","100","1.8109349276492586","8","0","0","8"
MedPlus Health Services Ltd,MEDPLUS,"Online Services","10929.90794148","100","21.870882740447964","7","0","0","7"
Sandur Manganese and Iron Ores Ltd,SANDUMA,"Mining - Diversified","10921.316856138","0",,"0","0","0",
Elecon Engineering Company Ltd,ELECON,"Heavy Electrical Equipments","10911.44659625","100","8.0719794344473","2","0","0","2"
Whirlpool of India Ltd,WHIRLPOOL,"Home Electronics & Appliances","10860.228648","66.66666666666667","37.850467289719624","6","11.11111111111111","22.22222222222222","9"
South Indian Bank Ltd,SOUTHBANK,"Private Banks","10836.8304246","66.66666666666667","21.98067632850242","4","0","33.333333333333336","6"
Nazara Technologies Ltd,NAZARA,"Theme Parks & Gaming","10782.38452352","55.55555555555556","0.32640439786977793","5","22.22222222222222","22.22222222222222","9"
Aavas Financiers Ltd,AAVAS,"Home Financing","10768.182154260001","78.94736842105263","21.8524517744073","15","5.2631578947368425","15.789473684210526","19"
Metropolis Healthcare Ltd,METROPOLIS,"Hospitals & Diagnostic Centres","10746.01590144","77.77777777777777","19.621840632838133","14","11.11111111111111","11.11111111111111","18"
Lloyds Enterprises Ltd,LLOYDSENT,"Iron & Steel","10744.528306143","0",,"0","0","0",
Balrampur Chini Mills Ltd,BALRAMCHIN,"Sugar","10715.968340825","100","16.344795101271785","6","0","0","6"
Brainbees Solutions Ltd,FIRSTCRY,"Retail - Apparel","10714.925647922999","66.66666666666667","22.232785549368472","4","16.666666666666668","16.666666666666668","6"
Action Construction Equipment Ltd,ACE,"Heavy Machinery","10674.31551606","100","51.530356246864024","1","0","0","1"
IIFL Capital Services Ltd,IIFLCAPS,"Diversified Financials","10644.83849034","0",,"0","0","0",
Mahanagar Gas Ltd,MGL,"Gas Distribution","10624.53780168","75","23.28002975083675","21","7.142857142857143","17.857142857142858","28"
Bombay Burmah Trading Corporation, Ltd,BBTC,"Tea & Coffee","10592.769858","0",,"0","0","0",
Corona Remedies Ltd,CORONA,"Pharmaceuticals","10591.704039839999","100","6.825268506755979","3","0","0","3"
Strides Pharma Science Ltd,STAR,"Pharmaceuticals","10523.35875738","100","10.755890338968202","2","0","0","2"
Kirloskar Pneumatic Company Ltd,KIRLPNU,"Industrial Machinery","10511.5343058","100","5.9819552589296725","3","0","0","3"
Edelweiss Financial Services Ltd,EDELWEISS,"Diversified Financials","10506.5013483","0",,"0","0","0",
Tilaknagar Industries Ltd,TI,"Alcoholic Beverages","10450.382481","100","28.902554399243137","4","0","0","4"
JK Tyre & Industries Ltd,JKTYRE,"Tires & Rubber","10408.692794655","66.66666666666667","62.16590499930757","4","16.666666666666668","16.666666666666668","6"
Ujjivan Small Finance Bank Ltd,UJJIVANSFB,"Private Banks","10408.587287882001","100","38.240239118251445","17","0","0","17"
Finolex Industries Ltd,FINPIPE,"Building Products - Pipes","10356.75790875","53.84615384615385","17.91044776119403","7","0","46.15384615384615","13"
Diamond Power Infrastructure Ltd,DIACABS,"Electrical Components & Equipments","10281.2053806","0",,"0","0","0",
Railtel Corporation of India Ltd,RAILTEL,"Communication & Networking","10279.657176210001","0","-18.04558226662504","0","100","0","1"
ESAB India Ltd,ESABINDIA,"Industrial Machinery","10230.201092","0",,"0","0","0",
SKF India (Industrial) Ltd,SKFINDUS,"Industrial Machinery","10207.45622061","25","24.860754589044422","1","0","75","4"
Ramkrishna Forgings Ltd,RKFORGE,"Rail","10132.21671868","33.333333333333336","13.461193762323001","1","0","66.66666666666667","3"
Swan Defence and Heavy Industries Ltd,SWANDEF,"Shipbuilding","10116.5532645","0",,"0","0","0",
Vedant Fashions Ltd,MANYAVAR,"Textiles","10084.598640015","60","24.081435971569686","6","10","30","10"
Titagarh Rail Systems Ltd,TITAGARH,"Rail","10059.45710076","87.5","35.8859361403039","7","0","12.5","8"
Swan Corp Ltd,SWANCORP,"Textiles","10057.26418731","0",,"0","0","0",
Olectra Greentech Ltd,OLECTRA,"Electrical Components & Equipments","10020.41637296","100","41.87418086500656","1","0","0","1"
SBFC Finance Ltd,SBFC,"Specialized Finance","10018.993535632","100","37.98432498068219","7","0","0","7"
Jayaswal Neco Industries Ltd,JAYNECOIND,"Iron & Steel","10003.223909688","0",,"0","0","0",
Cyient Ltd,CYIENT,"Software Services","9998.80939889","66.66666666666667","10.491133086569807","12","11.11111111111111","22.22222222222222","18"
Karnataka Bank Ltd,KTKBANK,"Private Banks","9976.65481162","100","6.141015921152384","3","0","0","3"
Lloyds Engineering Works Ltd,LLOYDSENGG,"Industrial Machinery","9943.00339584","0",,"0","0","0",
Marksans Pharma Ltd,MARKSANS,"Pharmaceuticals","9852.686165532","100","3.4863398031459907","3","0","0","3"
RITES Ltd,RITES,"Business Support Services","9814.890272628","50","36.617373420820684","3","0","50","6"
Waaree Renewable Technologies Ltd,WAAREERTL,"Renewable Energy","9794.93949504","0",,"0","0","0",
PVR INOX Ltd,PVRINOX,"Theatres","9781.69821482","94.11764705882354","33.018773215540605","16","0","5.882352941176471","17"
Avalon Technologies Ltd,AVALON,"Electronic Equipments","9777.236909719999","57.142857142857146","-7.812073204042617","8","21.428571428571427","21.428571428571427","14"
Healthcare Global Enterprises Ltd,HCG,"Hospitals & Diagnostic Centres","9735.250146614999","100","9.19408020857297","8","0","0","8"
Vesuvius India Ltd,VESUVIUS,"Industrial Machinery","9725.881536","0","22.078464106844745","0","0","0","0"
Blackbuck Ltd,BLACKBUCK,"Logistics","9662.3370336","85.71428571428571","39.87198795180722","6","0","14.285714285714286","7"
Intellect Design Arena Ltd,INTELLECT,"Software Services","9652.022338405","60","59.43184288716572","3","0","40","5"
MMTC Ltd,MMTC,"Commodities Trading","9589.5","0",,"0","0","0",
Genus Power Infrastructures Ltd,GENUSPOWER,"Electronic Equipments","9426.900351925","100","41.15179867720601","2","0","0","2"
Shilpa Medicare Ltd,SHILPAMED,"Pharmaceuticals","9315.56189608","100","8.54503464203233","2","0","0","2"
Voltamp Transformers Ltd,VOLTAMP,"Heavy Electrical Equipments","9283.469312","57.142857142857146","13.1974716652136","4","0","42.857142857142854","7"
Embassy Developments Ltd,EMBDL,"Real Estate","9222.871827955001","100","150.18839487565938","1","0","0","1"
NCC Ltd,NCC,"Construction & Engineering","9208.625906196","83.33333333333333","38.40594531942457","10","0","16.666666666666668","12"
SEDEMAC Mechatronics Ltd,SEDEMAC,"Auto Parts","9182.94231",,,,,,
Eureka Forbes Ltd,EUREKAFORB,"Home Electronics & Appliances","9160.87002852","100","41.51441546097793","13","0","0","13"
Transformers and Rectifiers (India) Ltd,TARIL,"Heavy Electrical Equipments","9147.55379115","50","-3.199343724364233","1","0","50","2"
G R Infraprojects Ltd,GRINFRA,"Construction & Engineering","9097.42493658","91.66666666666667","37.258030206339065","11","8.333333333333334","0","12"
Alkyl Amines Chemicals Ltd,ALKYLAMINE,"Specialty Chemicals","9086.25227832","33.333333333333336","-3.1858606326691383","1","33.333333333333336","33.333333333333336","3"
TSF Investments Ltd,TSFINV,"Investment Banking & Brokerage","8997.4273686","0",,"0","0","0",
KPI Green Energy Ltd,KPIGREEN,"Renewable Energy","8996.719336010001","0",,"0","0","0",
Birlasoft Ltd,BSOFT,"IT Services & Consulting","8933.02096448","46.15384615384615","22.966207759699618","6","7.6923076923076925","46.15384615384615","13"
Procter & Gamble Health Ltd,PGHL,"Pharmaceuticals","8893.9488756","0",,"0","0","0","0"
Amagi Media Labs Ltd,AMAGI,"Online Services","8872.060093439999","100","9.729334308705187","3","0","0","3"
Bata India Ltd,BATAINDIA,"Footwear","8828.5567226","8.333333333333334","22.288542728199157","1","50","41.666666666666664","12"
Lemon Tree Hotels Ltd,LEMONTREE,"Hotels, Resorts & Cruise Lines","8800.594482022","100","54.75976246175994","19","0","0","19"
Nesco Ltd,NESCO,"Real Estate","8792.6984084","100","3.2935331356679147","1","0","0","1"
Axiscades Technologies Ltd,AXISCADES,"Construction & Engineering","8784.77577795","0",,"0","0","0",
ASK Automotive Ltd,ASKAUTOLTD,"Auto Parts","8762.98857","100","31.608548931383577","7","0","0","7"
GMR Power and Urban Infra Ltd,GMRP&UI,"Power Generation","8757.549552677001","100","48.48836172300009","2","0","0","2"
Orkla India Ltd,ORKLAINDIA,"Packaged Foods & Meats","8747.44728165","100","17.453605825698855","5","0","0","5"
Cartrade Tech Ltd,CARTRADE,"Online Services","8743.0321447","85.71428571428571","38.14274750575595","6","14.285714285714286","0","7"
Va Tech Wabag Ltd,WABAG,"Water Management","8684.93395231","100","28.97323670804333","6","0","0","6"
Jupiter Life Line Hospitals Ltd,JLHL,"Hospitals & Diagnostic Centres","8642.91302004","100","19.860415718403882","6","0","0","6"
Star Cement Ltd,STARCEMENT,"Cement","8623.997557529","83.33333333333333","34.74246613863242","10","8.333333333333334","8.333333333333334","12"
Maharashtra Seamless Ltd,MAHSEAMLES,"Building Products - Pipes","8585.332075639999","100","23.3026377399719","1","0","0","1"
Varroc Engineering Ltd,VARROC,"Auto Parts","8523.953256","75","17.04606560315469","3","25","0","4"
Cello World Ltd,CELLO,"FMCG - Household Products","8511.80478519","85.71428571428571","47.91747761775009","6","14.285714285714286","0","7"
Time Technoplast Ltd,TIMETECHNO,"Plastic Products","8489.541248042","100","62.809629026631015","1","0","0","1"
India Shelter Finance Corporation Ltd,INDIASHLTR,"Home Financing","8482.518094525","100","30.169926258416158","8","0","0","8"
BHARAT Bond ETF-April 2030-Growth,EBBETF0430,"Debt","8469.70691049","0",,"0","0","0",
Banco Products (India) Ltd,BANCOINDIA,"Auto Parts","8448.4981245","0",,"0","0","0",
Tips Music Ltd,TIPSMUSIC,"Movies & TV Serials","8427.9367287","100","13.908691035947223","3","0","0","3"
Powergrid Infrastructure Investment Trust,PGINVIT,"Power Transmission & Distribution","8371.99264","0",,"0","0","0",
Bharat Bond ETF - April 2023,EBBETF0423,"Debt","8369.700871194","0",,"0","0","0",
V2 Retail Ltd,V2RETAIL,"Retail - Apparel","8287.4822364","100","908.8877155931009","1","0","0","1"
Tejas Networks Ltd,TEJASNET,"Telecom Equipments","8280.87738456","0","67.2384219554031","0","0","100","1"
Manorama Industries Ltd,MANORAMA,"Packaged Foods & Meats","8277.3935139","100","32.07819375315589","2","0","0","2"
Quality Power Electrical Equipments Ltd,QPOWER,"Power Trading & Consultancy","8274.127644","100","43.204792212654425","1","0","0","1"
BHARAT Bond ETF-April 2032,BBETF0432,"Debt","8252.305331877","0",,"0","0","0",
Tata Teleservices (Maharashtra) Ltd,TTML,"Telecom Services","8234.155586124001","0",,"0","0","0",
SKF India Ltd,SKFINDIA,"Industrial Machinery","8180.9941172399995","33.333333333333336","15.452018370800099","2","16.666666666666668","50","6"
Fujiyama Power Systems Ltd,UTLSOLAR,"Renewable Energy Equipment & Services","8169.72490444","100","27.723516153268225","1","0","0","1"
Yatharth Hospital & Trauma Care Services Ltd,YATHARTH,"Hospitals & Diagnostic Centres","8158.805178975","100","8.65072335400059","3","0","0","3"
Triveni Engineering and Industries Ltd,TRIVENI,"Sugar","8103.602775360001","66.66666666666667","35.06212857914641","2","0","33.333333333333336","3"
Jeena Sikho Lifecare Ltd,JSLL,"Pharmaceuticals","8087.0054938","100","84.44512757454658","1","0","0","1"
Kama Holdings Ltd,KAMAHOLD,"Specialty Chemicals","8076.395463125","0",,"0","0","0",
Sharda Cropchem Ltd,SHARDACROP,"Fertilizers & Agro Chemicals","8031.4284649","60","45.75376319928105","3","0","40","5"
Clean Science and Technology Ltd,CLEAN,"Specialty Chemicals","8021.279142025","66.66666666666667","29.181848294137133","8","0","33.333333333333336","12"
RHI Magnesita India Ltd,RHIM,"Cement","7980.247607769999","100","55.25941260188899","3","0","0","3"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","7972.349115955","0",,"0","0","0",
Zee Entertainment Enterprises Ltd,ZEEL,"TV Channels & Broadcasters","7967.5085889","70","8.499095840867989","7","10","20","10"
JK Lakshmi Cement Ltd,JKLAKSHMI,"Cement","7896.206215730001","70.58823529411765","31.278987500982634","12","11.764705882352942","17.647058823529413","17"
Akums Drugs and Pharmaceuticals Ltd,AKUMS,"Pharmaceuticals","7883.990476710001","100","32.051655500534025","3","0","0","3"
Saregama India Ltd,SAREGAMA,"Movies & TV Serials","7803.1532685","75","16.236162361623617","3","0","25","4"
Isgec Heavy Engineering Ltd,ISGEC,"Heavy Machinery","7796.3339453","100","77.7798736206734","1","0","0","1"
Rategain Travel Technologies Ltd,RATEGAIN,"Software Services","7788.54958025","88.88888888888889","6.1410159211523885","8","11.11111111111111","0","9"
Power Mech Projects Ltd,POWERMECH,"Construction & Engineering","7776.975506160001","100","7.488413692170087","2","0","0","2"
Indian Metals and Ferro Alloys Ltd,IMFA,"Iron & Steel","7770.47034612","100","29.14872934314678","1","0","0","1"
Equitas Small Finance Bank Ltd,EQUITASBNK,"Private Banks","7767.262535508","94.44444444444444","17.57789535567312","17","5.555555555555555","0","18"
SBI Gold ETF,SETFGOLD,"Gold","7729.7216374","0",,"0","0","0",
Jyothy Labs Ltd,JYOTHYLAB,"FMCG - Household Products","7696.816150560001","80","31.202290076335885","8","0","20","10"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,"Fertilizers & Agro Chemicals","7647.527846735001","0",,"0","0","0",
Aditya Birla Fashion and Retail Ltd,ABFRL,"Retail - Apparel","7608.508087972999","30.76923076923077","11.946265792419636","4","23.076923076923077","46.15384615384615","13"
Religare Enterprises Ltd,RELIGARE,"Investment Banking & Brokerage","7607.2132261080005","0",,"0","0","0",
Blue Jet Healthcare Ltd,BLUEJET,"Pharmaceuticals","7589.979670875","100","6.273568735001712","4","0","0","4"
SG Mart Ltd,SGMART,"Building Products - Others","7587.72","0",,"0","0","0",
Gujarat Ambuja Exports Ltd,GAEL,"Agro Products","7567.14854868","100","-16.353497393623464","1","0","0","1"
Thyrocare Technologies Ltd,THYROCARE,"Hospitals & Diagnostic Centres","7564.331595375","100","26.2493424513414","3","0","0","3"
Birla Corporation Ltd,BIRLACORPN,"Cement","7556.53470111","78.57142857142857","26.362987873229393","11","0","21.428571428571427","14"
KRBL Ltd,KRBL,"Packaged Foods & Meats","7552.221986539999","0",,"0","0","0",
Mishra Dhatu Nigam Ltd,MIDHANI,"Metals - Diversified","7468.3091","100","9.745390693590876","2","0","0","2"
Gujarat Pipavav Port Ltd,GPPL,"Ports","7454.6434122","66.66666666666667","20.622568093385222","4","33.333333333333336","0","6"
TTK Prestige Ltd,TTKPRESTIG,"Home Electronics & Appliances","7430.96039184","50","11.039439734611127","3","16.666666666666668","33.333333333333336","6"
Cera Sanitaryware Ltd,CERA,"Building Products - Ceramics","7411.52093025","93.33333333333333","21.336000695833697","14","0","6.666666666666667","15"
Sonata Software Ltd,SONATSOFTW,"IT Services & Consulting","7391.796294645","57.142857142857146","24.321288148286833","4","0","42.857142857142854","7"
Pearl Global Industries Ltd,PGIL,"Apparel & Accessories","7350.66406172","100","44.50867052023123","3","0","0","3"
Sanofi India Ltd,SANOFI,"Pharmaceuticals","7346.768418","100","40.658307210031346","2","0","0","2"
Sudeep Pharma Ltd,SUDEEPPHRM,"Pharmaceuticals","7342.79011125","100","2.907245039224731","1","0","0","1"
Safari Industries (India) Ltd,SAFARI,"Apparel & Accessories","7325.57196504","100","52.822364901016584","10","0","0","10"
ELANTAS Beck India Ltd,ELANTAS,"Specialty Chemicals","7307.42016032","0",,"0","0","0",
Westlife Foodworld Ltd,WESTLIFE,"Restaurants & Cafes","7267.20197684","61.111111111111114","13.199487398547632","11","5.555555555555555","33.333333333333336","18"
Relaxo Footwears Ltd,RELAXO,"Footwear","7251.581010180001","25","40.74836937864743","2","25","50","8"
Precision Wires India Ltd,PRECWIRE,"Electrical Components & Equipments","7250.1642885","100","-23.537569339384774","2","0","0","2"
Inox Green Energy Services Ltd,INOXGREEN,"Heavy Electrical Equipments","7243.71947589","0",,"0","0","0",
Borosil Renewables Ltd,BORORENEW,"Housewares","7228.091004075","0",,"0","0","0",
Sky Gold and Diamonds Ltd,SKYGOLD,"Precious Metals, Jewellery & Watches","7221.76921092","100","4.868110658374435","3","0","0","3"
Vikram Solar Ltd,VIKRAMSOLR,"Renewable Energy Equipment & Services","7204.573319003999","75","13.659223496278413","3","0","25","4"
Bajaj Consumer Care Ltd,BAJAJCON,"FMCG - Personal Products","7182.0483801850005","87.5","1.8459579885423256","7","0","12.5","8"
Shreeji Shipping Global Ltd,SHREEJISPG,"Logistics","7125.229838689999",,,,,,
Praj Industries Ltd,PRAJIND,"Construction & Engineering","7109.890243839999","42.857142857142854","-9.513960703205793","3","0","57.142857142857146","7"
Dilip Buildcon Ltd,DBL,"Construction & Engineering","7096.402529605","66.66666666666667","22.81103353553851","4","0","33.333333333333336","6"
Suven Life Sciences Ltd,SUVEN,"Pharmaceuticals","7093.556241534","0",,"0","0","0","0"
RedTape,REDTAPE,"Retail - Apparel","7093.0743156","0",,"0","0","0",
Le Travenues Technology Ltd,IXIGO,"Online Services","7092.876751549001","80","40.54488169518749","4","0","20","5"
Dynamatic Technologies Ltd,DYNAMATECH,"Auto Parts","7090.9456363","0","-26.252274686332726","0","100","0","1"
Kingfa Science and Technology (India) Ltd,KINGFA,"Commodity Chemicals","7089.947025389999","0",,"0","0","0",
Campus Activewear Ltd,CAMPUS,"Apparel & Accessories","7088.845576385001","85.71428571428571","29.32706815536492","6","0","14.285714285714286","7"
Powerica Ltd,POWERICA,"Power Generation","7077.413721225",,,,,,
P N Gadgil Jewellers Ltd,PNGJL,"Precious Metals, Jewellery & Watches","7073.796857625","100","37.937649880095925","3","0","0","3"
Gujarat State Fertilizers & Chemicals Ltd,GSFC,"Fertilizers & Agro Chemicals","7065.0066069","0","4.342921601804844","0","0","0","0"
Bluestone Jewellery and Lifestyle Ltd,BLUESTONE,"Precious Metals, Jewellery & Watches","7050.50240595","100","42.08535926526202","6","0","0","6"
Kirloskar Ferrous Industries Ltd,KIRLFER,"Iron & Steel","7027.090659085001","100","31.242603550295858","2","0","0","2"
Aditya Vision Ltd,AVL,"Retail - Speciality","6990.88833675","100","20.07019488316246","7","0","0","7"
Mahindra Lifespace Developers Ltd,MAHLIFE,"Real Estate","6969.90649905","100","40.801958983777176","7","0","0","7"
Elitecon International Ltd,ELITECON,"FMCG - Tobacco","6955.0735","0",,"0","0","0",
JK Paper Ltd,JKPAPER,"Paper Products","6907.338581245","100","25.344533403333777","2","0","0","2"
EPL Ltd,EPL,"Packaging","6907.151125994","87.5","36.78939070759529","7","0","12.5","8"
Maple Infrastructure Trust,MIT,"Roads","6883.577792","0",,"0","0","0",
Kennametal India Ltd,KENNAMET,"Industrial Machinery","6875.4528192","100","12.844923231094095","1","0","0","1"
Rashtriya Chemicals and Fertilizers Ltd,RCF,"Fertilizers & Agro Chemicals","6850.8628258","0",,"0","0","0",
E2E Networks Ltd,E2E,"Software Services","6848.18874546","0",,"0","0","0",
Jai Balaji Industries Ltd,JAIBALAJI,"Iron & Steel","6844.62247929","100","77.26242836198854","1","0","0","1"
Tanla Platforms Ltd,TANLA,"Software Services","6822.304173915","66.66666666666667","10.573667408338972","2","33.333333333333336","0","3"
HMT Ltd,HMT,"Industrial Machinery","6821.1791406","0",,"0","0","0",
Transport Corporation of India Ltd,TCI,"Logistics","6799.5004142","100","51.52370203160271","8","0","0","8"
Sudarshan Chemical Industries Ltd,SUDARSCHEM,"Diversified Chemicals","6780.0558784800005","80","47.10657543778269","4","20","0","5"
Sri Lotus Developers and Realty Ltd,LOTUSDEV,"Real Estate","6698.44716926","100","13.089158032978256","1","0","0","1"
WeWork India Management Ltd,WEWORK,"Real Estate","6678.6015833599995","100","72.55546425636811","6","0","0","6"
Bengal & Assam Company Ltd,BENGALASM,"Specialized Finance","6666.548296915","0",,"0","0","0",
Welspun Enterprises Limited,WELENT,"Construction & Engineering","6662.832547","0","4.517453798767967","0","0","100","1"
Transrail Lighting Ltd,TRANSRAILL,"Power Infrastructure","6660.44140025","100","91.49365047369481","1","0","0","1"
India Glycols Ltd,INDIAGLYCO,"Commodity Chemicals","6657.0982998","0",,"0","0","0",
Max Estates Ltd,MAXESTATES,"Real Estate","6637.5976156","100","54.556650246305416","4","0","0","4"
Raajmarg Infra Investment Trust,RIIT,"Real Estate","6631.2",,,,,,
Kalpataru Ltd,KALPATARU,"Real Estate","6586.159066105","100","31.311552290135992","1","0","0","1"
Latent View Analytics Ltd,LATENTVIEW,"IT Services & Consulting","6579.1797391","75","33.66881585154899","3","0","25","4"
Pricol Ltd,PRICOLLTD,"Auto Parts","6560.88103734","100","34.6832621214936","1","0","0","1"
AJAX Engineering Ltd,AJAXENGG,"Construction & Engineering","6513.751158","100","27.33819267585843","5","0","0","5"
KRN Heat Exchanger and Refrigeration Ltd,KRN,"Electrical Components & Equipments","6500.337228","100","2.2662076878944393","2","0","0","2"
Galaxy Surfactants Ltd,GALAXYSURF,"Specialty Chemicals","6473.328620159999","72.72727272727273","21.152371563150403","8","0","27.272727272727273","11"
Archean Chemical Industries Ltd,ACI,"Commodity Chemicals","6438.3552471","50","8.437200383509108","2","0","50","4"
Citius Transnet Investment Trust,CITIUSINVT,"Roads","6398.9",,,,,,
Sheela Foam Ltd,SFL,"Home Furnishing","6396.58411755","0","19.504908237302605","0","0","100","1"
Newgen Software Technologies Ltd,NEWGEN,"Software Services","6356.41269027","71.42857142857143","35.46524539196091","5","0","28.571428571428573","7"
Aarti Pharmalabs Ltd,AARTIPHARM,"Labs & Life Sciences Services","6352.841901325","0",,"0","0","0",
Sunflag Iron and Steel Co Ltd,SUNFLAG,"Iron & Steel","6310.38397172","0",,"0","0","0",
Garware Technical Fibres Ltd,GARFIBRES,"Textiles","6305.3664744","100","36.17758186397984","3","0","0","3"
Ethos Ltd,ETHOSLTD,"Precious Metals, Jewellery & Watches","6304.91520159","100","18.830369647328432","1","0","0","1"
SJS Enterprises Ltd,SJS,"Auto Parts","6291.84662256","100","16.965012205044747","3","0","0","3"
Interise Trust,INTERISE,"Roads","6266.1528877","0",,"0","0","0",
Hindustan Foods Ltd,HNDFDS,"FMCG - Foods","6239.33761164","100","51.76177709689773","2","0","0","2"
Shakti Pumps (India) Ltd,SHAKTIPUMP,"Industrial Machinery","6224.1933546","100","26.88342585249802","1","0","0","1"
Alok Industries Ltd,ALOKINDS,"Textiles","6201.5852608489995","0",,"0","0","0",
Kwality Wall's (India) Ltd,KWIL,"FMCG - Foods","6191.17297537",,,,,,
Dodla Dairy Ltd,DODLA,"FMCG - Foods","6182.39386632","100","31.83060109289618","4","0","0","4"
CSB Bank Ltd,CSBBANK,"Private Banks","6166.442002995","100","19.55476157757317","3","0","0","3"
Nephrocare Health Services Ltd,NEPHROPLUS,"Hospitals & Diagnostic Centres","6161.92343097","100","-0.6676437062367729","2","0","0","2"
Paras Defence and Space Technologies Ltd,PARAS,"Aerospace & Defense Equipments","6139.54573605","0","-7.724617706897686","0","0","0","0"
Valor Estate Ltd,DBREALTY,"Real Estate","6114.551416753","0",,"0","0","0",
Shrem InvIT,SHREMINVIT,"Roads","6108.4416","0",,"0","0","0",
Moil Ltd,MOIL,"Mining - Manganese","6080.138104680001","66.66666666666667","24.16331994645247","2","0","33.333333333333336","3"
Prism Johnson Ltd,PRSMJOHNSN,"Cement","6063.433362680001","33.333333333333336","16.636227793458417","1","33.333333333333336","33.333333333333336","3"
Ashapura Minechem Ltd,ASHAPURMIN,"Metals - Diversified","6059.698026630001","0",,"0","0","0",
Indo Count Industries Ltd,ICIL,"Textiles","6050.560087","66.66666666666667","9.656301145662848","2","0","33.333333333333336","3"
Greenlam Industries Ltd,GREENLAM,"Building Products - Laminates","6019.699733286","55.55555555555556","7.023269613868517","5","0","44.44444444444444","9"
Nippon India ETF Nifty 50 BeES,NIFTYBEES,"Equity","5977.95422673","0",,"0","0","0",
Sun Pharma Advanced Research Co Ltd,SPARC,"Pharmaceuticals","5960.812528384","100","988.8501742160279","1","0","0","1"
Balaji Amines Ltd,BALAMINES,"Specialty Chemicals","5940.07533","50","-28.32596956308296","1","50","0","2"
F D C Ltd,FDC,"Pharmaceuticals","5919.77465424","0",,"0","0","0",
Technocraft Industries (India) Ltd,TIIL,"Industrial Machinery","5916.6933660800005","100","44.4665849172287","1","0","0","1"
Ganesh Housing Ltd,GANESHHOU,"Real Estate","5874.20355505","0",,"0","0","0",
Kovai Medical Center and Hospital Ltd,KOVAI,"Hospitals & Diagnostic Centres","5845.3563604","0",,"0","0","0",
Supriya Lifescience Ltd,SUPRIYA,"Pharmaceuticals","5837.01507","100","29.610479145122373","2","0","0","2"
